frac,seed,snr,sep_ratio,kappa_logvar,kappa_tangent,feat_spread,min_rank,cond_max,valid
0.5,1,0.5,0.38250575588592395,0.0888888888888889,0.0888888888888889,0.5033992804443219,12,2.683217648306696,True
0.5,1,0.25,0.3779675076743385,0.06666666666666665,-0.04444444444444451,0.49495564556817406,12,2.6819849144630337,True
0.7,0,inf,32.63832426956724,1.0,1.0,67.95734848308498,10,inf,False
0.7,0,8.0,0.4026898576543565,0.15555555555555556,0.0,1.7428923509756533,12,6.8839016740960774,True
0.7,0,4.0,0.42368493264679224,0.1333333333333333,0.1333333333333333,0.9748450301602196,12,3.424156985316008,True
0.7,0,2.0,0.4132607628807238,0.06666666666666665,0.022222222222222254,0.6054674160612843,12,2.8093787923966347,True
0.7,0,1.0,0.38471931495957234,0.06666666666666665,0.0,0.4914862850990913,12,2.7094983804772057,True
0.7,0,0.5,0.3791450907360466,0.11111111111111116,0.0,0.4915418386631609,12,2.688265293890828,True
0.7,0,0.25,0.3776311528934748,0.11111111111111116,0.06666666666666665,0.49157031778042093,12,2.6829382274766047,True
0.7,1,inf,22.510762395037045,1.0,1.0,30.12786654229555,10,4898514268611501.0,False
0.7,1,8.0,0.4151218721644546,0.19999999999999996,0.0888888888888889,1.9832690479451909,12,10.94231542701362,True
0.7,1,4.0,0.42068311790271057,0.11111111111111116,0.06666666666666665,1.120207150615574,12,4.1626658964967715,True
0.7,1,2.0,0.46119175627565034,0.0888888888888889,0.022222222222222254,0.663128556635507,12,2.6950317961821226,True
0.7,1,1.0,0.3912869838852518,0.0888888888888889,-0.0888888888888888,0.5176959746328353,12,2.655887625701594,True
0.7,1,0.5,0.37908406094739777,0.11111111111111116,-0.022222222222222143,0.4914968438608235,12,2.667743011495447,True
0.7,1,0.25,0.377120350725749,0.11111111111111116,0.06666666666666665,0.4915473109040094,12,2.674729166436613,True
