condition,kind,n_cut,noise_seed,sep_ratio,kappa_logvar,kappa_tangent,cond_max,valid,model
random_match_T4_canonical_input_s2,random,16,1,1.1094770347431269,0.8,0.8222222222222222,5.67581202700271,True,flow/0000/000
random_match_T4_canonical_input_s2,random,16,2,1.0891106632062917,0.7333333333333334,0.8222222222222222,5.633264701858213,True,flow/0000/000
intact,intact,0,0,1.729211997512746,0.9777777777777776,0.9555555555555556,10.63725111847305,True,flow/0000/001
intact,intact,0,1,1.795181946790388,1.0,0.9555555555555556,10.945755491638076,True,flow/0000/001
intact,intact,0,2,1.746187915441517,1.0,1.0,10.02140494682672,True,flow/0000/001
onto_T4,targeted,44,0,0.6888273870297195,0.2888888888888888,0.3333333333333333,8.961476767526742,True,flow/0000/001
onto_T4,targeted,44,1,0.7299095180349449,0.4666666666666667,0.4888888888888889,9.917003572564877,True,flow/0000/001
onto_T4,targeted,44,2,0.7699169119941361,0.4,0.6,8.855976127217938,True,flow/0000/001
onto_T5,targeted,35,0,1.732187463566809,0.9777777777777776,0.9777777777777776,10.913875423756773,True,flow/0000/001
onto_T5,targeted,35,1,1.7994135574823984,1.0,0.9777777777777776,11.17431554071148,True,flow/0000/001
onto_T5,targeted,35,2,1.7486078257849822,1.0,1.0,10.272549482604562,True,flow/0000/001
onto_T4_and_T5,targeted,79,0,0.694284386297091,0.2444444444444444,0.3555555555555555,9.139359987894522,True,flow/0000/001
onto_T4_and_T5,targeted,79,1,0.7375003429064865,0.4444444444444444,0.4888888888888889,10.11750623207222,True,flow/0000/001
onto_T4_and_T5,targeted,79,2,0.7798220638125442,0.4,0.5777777777777777,8.99080502142037,True,flow/0000/001
from_photoreceptor,targeted,44,0,0.3284160305507008,-0.0666666666666666,0.0888888888888889,2.398800858934996,True,flow/0000/001
from_photoreceptor,targeted,44,1,0.4165164246213964,0.1555555555555555,-0.1333333333333333,2.4052561785081115,True,flow/0000/001
from_photoreceptor,targeted,44,2,0.6885408936589515,0.0,-0.0888888888888888,2.4108298892789137,True,flow/0000/001
T4_canonical_input,targeted,16,0,0.779051308119226,0.3777777777777777,0.4666666666666667,9.535439926275671,True,flow/0000/001
T4_canonical_input,targeted,16,1,0.8268673287839253,0.5555555555555556,0.5777777777777777,10.462966268438263,True,flow/0000/001
T4_canonical_input,targeted,16,2,0.8516689832145502,0.4888888888888889,0.7333333333333334,9.411959488268913,True,flow/0000/001
random_match_onto_T4_s0,random,44,0,0.8782555457527742,0.7333333333333334,0.5777777777777777,6.830834352478094,True,flow/0000/001
random_match_onto_T4_s0,random,44,1,0.9191821275434082,0.6666666666666667,0.5555555555555556,6.732651061075128,True,flow/0000/001
random_match_onto_T4_s0,random,44,2,0.892053627390777,0.8666666666666667,0.6222222222222222,6.881985671346671,True,flow/0000/001
random_match_onto_T4_s1,random,44,0,1.484236302974525,1.0,0.8666666666666667,12.160815487394812,True,flow/0000/001
random_match_onto_T4_s1,random,44,1,1.5494460362335003,0.9555555555555556,0.9555555555555556,10.809360626999462,True,flow/0000/001
random_match_onto_T4_s1,random,44,2,1.4827706053311371,0.9555555555555556,0.9555555555555556,11.251033434726416,True,flow/0000/001
random_match_onto_T4_s2,random,44,0,0.8778186534113579,0.6888888888888889,0.5111111111111111,5.596945721908682,True,flow/0000/001
random_match_onto_T4_s2,random,44,1,0.9019171869503396,0.6666666666666667,0.6,5.813031337234679,True,flow/0000/001
random_match_onto_T4_s2,random,44,2,0.8791436793775049,0.7777777777777778,0.5111111111111111,5.313647877912422,True,flow/0000/001
random_match_onto_T5_s0,random,35,0,1.071909501590791,0.9111111111111112,0.7111111111111111,6.687512992986529,True,flow/0000/001
random_match_onto_T5_s0,random,35,1,1.1245271047049858,0.8,0.8222222222222222,6.575921538200101,True,flow/0000/001
random_match_onto_T5_s0,random,35,2,1.0799838064047182,0.9555555555555556,0.7555555555555555,6.329323979325123,True,flow/0000/001
random_match_onto_T5_s1,random,35,0,1.8885818919449937,1.0,0.9777777777777776,11.706210450941828,True,flow/0000/001
random_match_onto_T5_s1,random,35,1,1.9504230247642096,1.0,1.0,12.44928823216677,True,flow/0000/001
random_match_onto_T5_s1,random,35,2,1.8972768327957603,1.0,1.0,11.015464384143204,True,flow/0000/001
random_match_onto_T5_s2,random,35,0,1.1568033107303193,0.8444444444444444,0.7333333333333334,6.12737566062476,True,flow/0000/001
random_match_onto_T5_s2,random,35,1,1.209346006695949,0.8222222222222222,0.8444444444444444,6.294975211014914,True,flow/0000/001
random_match_onto_T5_s2,random,35,2,1.1818348044077325,0.9333333333333332,0.7777777777777778,5.960041151473721,True,flow/0000/001
random_match_onto_T4_and_T5_s0,random,79,0,1.2633256259710912,0.9333333333333332,0.8,7.580643364959834,True,flow/0000/001
random_match_onto_T4_and_T5_s0,random,79,1,1.3030688388802911,0.8888888888888888,0.8888888888888888,7.539541336679242,True,flow/0000/001
random_match_onto_T4_and_T5_s0,random,79,2,1.2566526427803684,0.9777777777777776,0.8666666666666667,7.299053355708022,True,flow/0000/001
random_match_onto_T4_and_T5_s1,random,79,0,1.527749669390731,0.9555555555555556,0.9111111111111112,11.166321352030597,True,flow/0000/001
random_match_onto_T4_and_T5_s1,random,79,1,1.59134948618343,0.9555555555555556,0.9111111111111112,11.658631424573594,True,flow/0000/001
random_match_onto_T4_and_T5_s1,random,79,2,1.5341106976817065,0.9777777777777776,0.9777777777777776,11.091539667510578,True,flow/0000/001
random_match_onto_T4_and_T5_s2,random,79,0,0.7601492989362167,0.5111111111111111,0.5333333333333333,5.680966879124871,True,flow/0000/001
random_match_onto_T4_and_T5_s2,random,79,1,0.8187201129015824,0.5555555555555556,0.5111111111111111,5.813660627492882,True,flow/0000/001
random_match_onto_T4_and_T5_s2,random,79,2,0.8094489277990766,0.6666666666666667,0.4888888888888889,5.454300518050584,True,flow/0000/001
random_match_from_photoreceptor_s0,random,44,0,0.8782555457527742,0.7333333333333334,0.5777777777777777,6.830834352478094,True,flow/0000/001
random_match_from_photoreceptor_s0,random,44,1,0.9191821275434082,0.6666666666666667,0.5555555555555556,6.732651061075128,True,flow/0000/001
random_match_from_photoreceptor_s0,random,44,2,0.892053627390777,0.8666666666666667,0.6222222222222222,6.881985671346671,True,flow/0000/001
random_match_from_photoreceptor_s1,random,44,0,1.484236302974525,1.0,0.8666666666666667,12.160815487394812,True,flow/0000/001
random_match_from_photoreceptor_s1,random,44,1,1.5494460362335003,0.9555555555555556,0.9555555555555556,10.809360626999462,True,flow/0000/001
random_match_from_photoreceptor_s1,random,44,2,1.4827706053311371,0.9555555555555556,0.9555555555555556,11.251033434726416,True,flow/0000/001
random_match_from_photoreceptor_s2,random,44,0,0.8778186534113579,0.6888888888888889,0.5111111111111111,5.596945721908682,True,flow/0000/001
random_match_from_photoreceptor_s2,random,44,1,0.9019171869503396,0.6666666666666667,0.6,5.813031337234679,True,flow/0000/001
random_match_from_photoreceptor_s2,random,44,2,0.8791436793775049,0.7777777777777778,0.5111111111111111,5.313647877912422,True,flow/0000/001
random_match_T4_canonical_input_s0,random,16,0,1.553478136003965,0.9777777777777776,0.8666666666666667,11.89647454123558,True,flow/0000/001
random_match_T4_canonical_input_s0,random,16,1,1.615490543386477,0.9777777777777776,0.9111111111111112,12.134002827504752,True,flow/0000/001
random_match_T4_canonical_input_s0,random,16,2,1.570688835192232,1.0,0.9555555555555556,11.10683937019082,True,flow/0000/001
random_match_T4_canonical_input_s1,random,16,0,1.4601015099755514,0.8888888888888888,0.8444444444444444,8.57691876572187,True,flow/0000/001
random_match_T4_canonical_input_s1,random,16,1,1.5265846821551603,0.9333333333333332,0.9111111111111112,9.028753963371903,True,flow/0000/001
random_match_T4_canonical_input_s1,random,16,2,1.4782676357463704,0.9555555555555556,0.8444444444444444,8.227149747334572,True,flow/0000/001
random_match_T4_canonical_input_s2,random,16,0,1.4053000680429664,0.9777777777777776,0.9111111111111112,9.826334389510272,True,flow/0000/001
random_match_T4_canonical_input_s2,random,16,1,1.467002952834102,0.9777777777777776,0.9777777777777776,9.477325145928017,True,flow/0000/001
random_match_T4_canonical_input_s2,random,16,2,1.4342951233315648,1.0,0.9333333333333332,9.159393649582752,True,flow/0000/001
